13867	"PTB_WSJ"	"Wright"	"aide"	15	18	12405		
21070	"HDFRE"	"his"	"chamberlain"	9	10	1070	"Marcia , his favorite concubine , Eclectus , <b>his</b> <b>chamberlain</b> , and L??tus , his Pr??torian pr??fect , alarmed by the fate of their companions and predecessors , resolved to prevent the destruction which every hour hung over their heads , either from the mad caprice of the tyrant , * or the sudden indignation of the people . "	
23647	"HDFRE"	"his"	"chamberlains"	27	28	3647	"Immediately after the most violent clap of thunder , we heard a sudden cry that the emperor was dead ; and it soon appeared , that <b>his</b> <b>chamberlains</b> , in a rage of grief , had set fire to the royal pavilion ; a circumstance which gave rise to the report that Carus was killed by lightning . "	
							
24684	"HDFRE"	"His"	"ambassador"	1	2	4684	"<b>His</b> <b>ambassador</b> Mistrianus was admitted to the audience of Constantine : he expatiated on the common topics of moderation and humanity , which are so familiar to the eloquence of the vanquished ; represented in the most insinuating language , that the event of the war was still doubtful , whilst its inevitable calamities were alike pernicious to both the contending parties ; and declared that he was authorized to propose a lasting and honorable peace in the name of the two emperors his masters "	
23632	"HDFRE"	"His"	"ambassadors"	1	2	3632	"<b>His</b> <b>ambassadors</b> entered the camp about sunset , at the time when the troops were satisfying their hunger with a frugal repast . "	
22789	"HDFRE"	"their"	"ambassadors"	18	19	2789	"At stated periods , the numerous tribes who gloried in the Suevic blood , resorted thither by <b>their</b> <b>ambassadors</b> ; and the memory of their common extraction was perpetrated by barbaric rites and human sacrifices . "	
23152	"HDFRE"	"their"	"ambassadors"	3	4	3152	"Aurelian received <b>their</b> <b>ambassadors</b> at the head of his camp , and with every circumstance of martial pomp that could display the greatness and discipline of Rome . "	
							
24634	"HDFRE"	"her"	"eunuchs"	6	7	4634	"Her estates were confiscated , <b>her</b> <b>eunuchs</b> and domestics devoted to the most inhuman tortures ; and several innocent and respectable matrons , who were honored with her friendship , suffered death , on a false accusation of adultery . "	
22203	"HDFRE"	"mother"	"eunuchs"	13	15	2203	"Immediately after his accession , he fell into the hands of his <b>mother</b> 's <b>eunuchs</b> , that pernicious vermin of the East , who , since the days of Elagabalus , had infested the Roman palace . "	
							
21068	"HDFRE"	"his"	"domestics"	21	23	1068	"He had shed with impunity the noblest blood of Rome : he perished as soon as he was dreaded by <b>his</b> own <b>domestics</b> . "	
20747	"HDFRE"	"their"	"domestics"	10	12	747	"Caligula and Domitian were assassinated in their palace by <b>their</b> own <b>domestics</b> : * the convulsions which agitated Rome on the death of the former , were confined to the walls of the city . "	
							
23671	"HDFRE"	"his"	"doorkeepers"	3	4	3671	"One of <b>his</b> <b>doorkeepers</b> he intrusted with the government of the city . "	
							
21656	"HDFRE"	"his"	"courtiers"	17	19	1656	"This new and injudicious violation of the constitution was probably dictated either by the ignorance of <b>his</b> Syrian <b>courtiers</b> , or the fierce disdain of his military followers . "	
23693	"HDFRE"	"his"	"courtiers"	28	29	3693	"In the midst of this glittering pageantry , the emperor Carinus , secure of his fortune , enjoyed the acclamations of the people , the flattery of <b>his</b> <b>courtiers</b> , and the songs of the poets , who , for want of a more essential merit , were reduced to celebrate the divine graces of his person . "	
24156	"HDFRE"	"their"	"courtiers"	23	24	4156	"By such infamous arts , '' added Diocletian , `` the best and wisest princes are sold to the venal corruption of <b>their</b> <b>courtiers</b> . '' "	
							
22045	"HDFRE"	"his"	"representative"	16	18	2045	"* As long as that emperor lived , Africa was happy under the administration of <b>his</b> worthy <b>representative</b> : after the barbarous Maximin had usurped the throne , Gordianus alleviated the miseries which he was unable to prevent . "	
20408	"HDFRE"	"its"	"representative"	9	11	408	"Every virtue , and even vice , acquired <b>its</b> divine <b>representative</b> ; every art and profession its patron , whose attributes , in the most distant ages and countries , were uniformly derived from the character of their peculiar votaries . "	
							
22923	"HDFRE"	"his"	"captive"	31	33	2923	"Notwithstanding all the remonstrances of his allies , who repeatedly advised him to remember the vicissitudes of fortune , to dread the returning power of Rome , and to make <b>his</b> illustrious <b>captive</b> the pledge of peace , not the object of insult , Sapor still remained inflexible . "	
							
22216	"HDFRE"	"their"	"garrisons"	13	14	2216	"On his approach , with a great army , the Persians withdrew <b>their</b> <b>garrisons</b> from the cities which they had already taken , and retired from the Euphrates to the Tigris . "	
							
23069	"HDFRE"	"their"	"navy"	20	21	3069	"Impatient for battle , the Goths immediately broke up their camp , relinquished the siege of Thessalonica , left <b>their</b> <b>navy</b> at the foot of Mount Athos , traversed the hills of Macedonia , and pressed forwards to engage the last defence of Italy . "	
							
21786	"HDFRE"	"Alexander"	"government"	28	30	1786	"Such a uniform tenor of life , which left not a moment for vice or folly , is a better proof of the wisdom and justice of <b>Alexander</b> 's <b>government</b> , than all the trifling details preserved in the compilation of Lampridius . "	
23799	"HDFRE"	"Diocletian"	"government"	20	22	3799	"But we have preferred , for the sake of perspicuity , first to describe the more perfect form of <b>Diocletian</b> 's <b>government</b> , and afterwards to relate the actions of his reign , following rather the natural order of the events , than the dates of a very doubtful chronology . "	
21228	"HDFRE"	"his"	"government"	2	3	1228	"In <b>his</b> <b>government</b> Niger acquired the esteem of the soldiers and the love of the provincials . "	
21896	"HDFRE"	"his"	"government"	14	15	1896	"When Augustus resolved to establish a permanent military force for the defence of <b>his</b> <b>government</b> against foreign and domestic enemies , he instituted a peculiar treasury for the pay of the soldiers , the rewards of the veterans , and the extra-ordinary expenses of war . "	
24093	"HDFRE"	"their"	"government"	2	4	4093	"In <b>their</b> civil <b>government</b> , the emperors were supposed to exercise the undivided power of the monarch , and their edicts , inscribed with their joint names , were received in all the provinces , as promulgated by their mutual councils and authority . "	
							
25111	"HDFRE"	"her"	"missionaries"	58	59	5111	"The society of the faithful bore a just proportion to the capital of the empire ; and the Roman church was the greatest , the most numerous , and , in regard to the West , the most ancient of all the Christian establishments , many of which had received their religion from the pious labors of <b>her</b> <b>missionaries</b> . "	
24817	"HDFRE"	"his"	"missionaries"	42	44	4817	"A larger acquaintance with mankind extended their knowledge without correcting their prejudices ; and whenever the God of Israel acquired any new votaries , he was much more indebted to the inconstant humor of polytheism than to the active zeal of <b>his</b> own <b>missionaries</b> . "	
							
20923	"HDFRE"	"his"	"attendants"	10	11	923	"His simplicity and timidity rendered him the slave of <b>his</b> <b>attendants</b> , who gradually corrupted his mind . "	
24124	"HDFRE"	"his"	"attendants"	49	50	4124	"During the whole winter he was confined to his palace : his danger inspired a general and unaffected concern ; but the people could only judge of the various alterations of his health , from the joy or consternation which they discovered in the countenances and behavior of <b>his</b> <b>attendants</b> . "	
							
21093	"HDFRE"	"his"	"creatures"	12	13	1093	"* In spite of all remonstrances , even of those of <b>his</b> <b>creatures</b> who yet preserved any regard for prudence or decency , Commodus had resolved to pass the night in the gladiators ' school , and from thence to take possession of the consulship , in the habit and with the attendance of that infamous crew . "	
21762	"HDFRE"	"his"	"creatures"	29	31	1762	"As soon as they had purged the city from foreign superstition and luxury , the remains of the capricious tyranny of Elagabalus , they applied themselves to remove <b>his</b> worthless <b>creatures</b> from every department of the public administration , and to supply their places with men of virtue and ability . "	
							
25103	"HDFRE"	"his"	"flock"	30	31	5103	"The bishops acknowledged the supreme authority which resided in the assembly of their brethren ; but in the government of his peculiar diocese , each of them exacted from <b>his</b> <b>flock</b> the same implicit obedience as if that favorite metaphor had been literally just , and as if the shepherd had been of a more exalted nature than that of his sheep . "	
							
22665	"HDFRE"	"his"	"Goths"	67	69	2665	"That Odin , yielding with indignant fury to a power which he was unable to resist , conducted his tribe from the frontiers of the Asiatic Sarmatia into Sweden , with the great design of forming , in that inaccessible retreat of freedom , a religion and a people , which , in some remote age , might be subservient to his immortal revenge ; when <b>his</b> invincible <b>Goths</b> , armed with martial fanaticism , should issue in numerous swarms from the neighborhood of the Polar circle , to chastise the oppressors of mankind "	
							
23039	"HDFRE"	"his"	"general"	13	15	3039	"By such arts Gallienus softened the indignation and dispelled the fears of <b>his</b> Illyrian <b>general</b> ; and during the remainder of that reign , the formidable sword of Claudius was always drawn in the cause of a master whom he despised . "	
24680	"HDFRE"	"his"	"general"	14	15	4680	"In his flight he bestowed the precarious title of C??sar on Valens , <b>his</b> <b>general</b> of the Illyrian frontier . "	
							
21254	"HDFRE"	"his"	"columns"	30	31	1254	"During the whole expedition , he scarcely allowed himself any moments for sleep or food ; marching on foot , and in complete armor , at the head of <b>his</b> <b>columns</b> , he insinuated himself into the confidence and affection of his troops , pressed their diligence , revived their spirits , animated their hopes , and was well satisfied to share the hardships of the meanest soldier , whilst he kept in view the infinite superiority of his reward . "	
							
22643	"HDFRE"	"his"	"force"	20	21	2643	"He conducted , or followed , his army to the confines of Italy , whither Philip , collecting all <b>his</b> <b>force</b> to repel the formidable competitor whom he had raised up , advanced to meet him . "	
23946	"HDFRE"	"his"	"force"	33	35	3946	"The civil war was , however , soon terminated , either by a victor or by a reconciliation ; and Narses , who was universally acknowledged as king of Persia , directed <b>his</b> whole <b>force</b> against the foreign enemy . "	
							
22900	"HDFRE"	"whose"	"force"	18	20	2900	"The advantages of the narrow passes of Mount Taurus were abandoned , in which an invader , <b>whose</b> principal <b>force</b> consisted in his cavalry , would have been engaged in a very unequal combat : and Sapor was permitted to form the siege of C??sarea , the capital of Cappadocia ; a city , though of the second rank , which was supposed to contain four hundred thousand inhabitants . "	
							
22305	"HDFRE"	"his"	"satraps"	19	20	2305	"On that day the husbandmen were admitted , without distinction , to the table of the king and <b>his</b> <b>satraps</b> . "	
23973	"HDFRE"	"his"	"satraps"	8	9	3973	"His sumptuous tents , and those of <b>his</b> <b>satraps</b> , afforded an immense booty to the conqueror ; and an incident is mentioned , which proves the rustic but martial ignorance of the legions in the elegant superfluities of life . "	
							
22685	"HDFRE"	"his"	"detachments"	32	34	2685	"Intelligence was soon transmitted to the emperor Decius , that Cniva , king of the Goths , had passed the Danube a second time , with more considerable forces ; that <b>his</b> numerous <b>detachments</b> scattered devastation over the province of M??sia , whilst the main body of the army , consisting of seventy thousand Germans and Sarmatians , a force equal to the most daring achievements , required the presence of the Roman monarch , and the exertion of his military power "	
							
23602	"HDFRE"	"his"	"legionaries"	43	45	3602	"But in the prosecution of a favorite scheme , the best of men , satisfied with the rectitude of their intentions , are subject to forget the bounds of moderation ; nor did Probus himself sufficiently consult the patience and disposition of <b>his</b> fierce <b>legionaries</b> . "	
							
21773	"HDFRE"	"his"	"council"	27	28	1773	"But as he deemed the service of mankind the most acceptable worship of the gods , the greatest part of his morning hours was employed in <b>his</b> <b>council</b> , where he discussed public affairs , and determined private causes , with a patience and discretion above his years . "	
24483	"HDFRE"	"his"	"council"	38	39	4483	"He gave a private audience to the ambassadors , who , in the name of the senate and people , conjured him to deliver Rome from a detested tyrant ; and without regarding the timid remonstrances of <b>his</b> <b>council</b> , he resolved to prevent the enemy , and to carry the war into the heart of Italy . "	
20675	"HDFRE"	"his"	"councils"	8	9	675	"But we may venture to ascribe to <b>his</b> <b>councils</b> the first measure of the succeeding reign , by which the elections were transferred to the senate . "	
20047	"HDFRE"	"our"	"councils"	150	151	47	"A second attentive and regular perusal of the entire work , of the notes of the author , and of those which I had thought it right to subjoin , showed me how much I had exaggerated the importance of the reproaches which Gibbon really deserved ; I was struck with the same errors , the same partiality on certain subjects ; but I had been far from doing adequate justice to the immensity of his researches , the variety of his knowledge , and above all , to that truly philosophical discrimination ( justesse d'esprit ) which judges the past as it would judge the present ; which does not permit itself to be blinded by the clouds which time gathers around the dead , and which prevent us from seeing that , under the toga , as under the modern dress , in the senate as in <b>our</b> <b>councils</b> , men were what they still are , and that events took place eighteen centuries ago , as they take place in our days "	
22669	"HDFRE"	"their"	"councils"	33	34	2669	"The use of round bucklers and short swords rendered them formidable in a close engagement ; the manly obedience which they yielded to hereditary kings , gave uncommon union and stability to <b>their</b> <b>councils</b> ; and the renowned Amala , the hero of that age , and the tenth ancestor of Theodoric , king of Italy , enforced , by the ascendant of personal merit , the prerogative of his birth , which he derived from the Anses , or demi gods of the Gothic nation . "	
23803	"HDFRE"	"their"	"councils"	25	27	3803	"The first governed by superstition , the second by arms , but the third and last was not of any weight or account in <b>their</b> public <b>councils</b> . "	
24096	"HDFRE"	"their"	"councils"	39	41	4096	"In their civil government , the emperors were supposed to exercise the undivided power of the monarch , and their edicts , inscribed with their joint names , were received in all the provinces , as promulgated by <b>their</b> mutual <b>councils</b> and authority . "	
							
25142	"HDFRE"	"his"	"clergy"	13	14	5142	"A decent portion was reserved for the maintenance of the bishop and <b>his</b> <b>clergy</b> ; a sufficient sum was allotted for the expenses of the public worship , of which the feasts of love , the agap , as they were called , constituted a very pleasing part . "	
							
21180	"HDFRE"	"his"	"freedmen"	7	8	1180	"His wife and his daughter , <b>his</b> <b>freedmen</b> and his parasites , easily convinced him that he deserved the throne , and earnestly conjured him to embrace so fortunate an opportunity . "	
							
22908	"HDFRE"	"his"	"prisoners"	40	41	2908	"This heroic chief escaped the power of a foe who might either have honored or punished his obstinate valor ; but many thousands of his fellow-citizens were involved in a general massacre , and Sapor is accused of treating <b>his</b> <b>prisoners</b> with wanton and unrelenting cruelty . "	
							
24958	"HDFRE"	"their"	"scholars"	69	71	4958	"How shall I admire , how laugh , how rejoice , how exult , when I behold so many proud monarchs , so many fancied gods , groaning in the lowest abyss of darkness ; so many magistrates , who persecuted the name of the Lord , liquefying in fiercer fires than they ever kindled against the Christians ; so many sage philosophers blushing in red-hot flames with <b>their</b> deluded <b>scholars</b> ; so many celebrated poets trembling before the tribunal , not of Minos , but of Christ ; so many tragedians , more tuneful in the expression of their own sufferings ; so many dancers "	
							
13302	"PTB_WSJ"	"her"	"actors"	11	12	18009		
13303	"PTB_WSJ"	"her"	"actors"	8	9	18011		
							
13635	"PTB_WSJ"	"my"	"broker"	12	13	26516		
13636	"PTB_WSJ"	"my"	"driver"	4	5	7779		
13892	"JB"	"my"	"driver"	28	29	2670	"It was Things like trees , and they fell up and down the lines and bubbled ; and my head-rope broke , and I could n't find <b>my</b> <b>driver</b> , and I could n't find you , Billy , so I ran off with -- with these gentlemen . '' "	
13893	"JB"	"my"	"driver"	8	9	2837	"All they can do is to stop <b>my</b> <b>driver</b> 's pay till I get well , and I ca n't trust my driver . '' "	
13894	"JB"	"my"	"driver"	22	23	2837	"All they can do is to stop my driver 's pay till I get well , and I ca n't trust <b>my</b> <b>driver</b> . '' "	
13637	"PTB_WSJ"	"my"	"employees"	16	17	17427		
13638	"PTB_WSJ"	"my"	"staff"	5	6	33162		
13639	"PTB_WSJ"	"My"	"staff"	2	3	36740		
13640	"PTB_WSJ"	"my"	"students"	41	44	10109		
13889	"JB"	"my"	"troop"	7	8	2976	"I set the time for all <b>my</b> <b>troop</b> , little lady , '' he said politely . "	
13895	"JB"	"my"	"wolves"	19	20	1429	"Fare you well , children of men , and thank Messua that I do not come in with <b>my</b> <b>wolves</b> and hunt you up and down your street . '' "	
							
13856	"PTB_WSJ"	"Webster"	"deputies"	6	11	25599		
							
13845	"PTB_WSJ"	"Wall"	"deputies"	40	42	2699		
13846	"PTB_WSJ"	"Wall"	"deputies"	2	4	2715		
							
13351	"PTB_WSJ"	"his"	"congressman"	18	20	32779		
13352	"PTB_WSJ"	"his"	"deputy"	5	6	23243		
13353	"PTB_WSJ"	"his"	"deputy"	16	17	36352		
13354	"PTB_WSJ"	"his"	"doctor"	12	13	3772		
13890	"JB"	"his"	"driver"	9	10	2276	"`` Yes , '' said Big Toomai , <b>his</b> <b>driver</b> , the son of Black Toomai who had taken him to Abyssinia , and grandson of Toomai of the Elephants who had seen him caught , `` there is nothing that the Black Snake fears except me . "	
13891	"JB"	"his"	"driver"	12	13	3004	"Mule , horse , elephant , or bullock , he obeys <b>his</b> <b>driver</b> , and the driver his sergeant , and the sergeant his lieutenant , and the lieutenant his captain , and the captain his major , and the major his colonel , and the colonel his brigadier commanding three regiments , and the brigadier the general , who obeys the Viceroy , who is the servant of the Empress . "	
							
20212	"HDFRE"	"His"	"generals"	1	2	212	"<b>His</b> <b>generals</b> , in the early part of his reign , attempted the reduction of Ethiopia and Arabia Felix . "	
20271	"HDFRE"	"his"	"generals"	26	27	271	"The hostilities of the barbarians provoked the resentment of that philosophic monarch , and , in the prosecution of a just defence , Marcus and <b>his</b> <b>generals</b> obtained many signal victories , both on the Euphrates and on the Danube . "	
21346	"HDFRE"	"his"	"generals"	15	16	1346	"The impetuosity of Severus disappointed this prudent scheme of defence ; he left to <b>his</b> <b>generals</b> the siege of Byzantium , forced the less guarded passage of the Hellespont , and , impatient of a meaner enemy , pressed forward to encounter his rival . "	
21383	"HDFRE"	"his"	"generals"	23	24	1383	"There is still extant a letter of Severus , lamenting the licentious stage of the army , * and exhorting one of <b>his</b> <b>generals</b> to begin the necessary reformation from the tribunes themselves ; since , as he justly observes , the officer who has forfeited the esteem , will never command the obedience , of his soldiers . "	
23096	"HDFRE"	"his"	"generals"	26	27	3096	"In his last illness , he convened the principal officers of the state and army , and in their presence recommended Aurelian , one of <b>his</b> <b>generals</b> , as the most deserving of the throne , and the best qualified to execute the great design which he himself had been permitted only to undertake . "	
23264	"HDFRE"	"his"	"generals"	30	31	3264	"As far as the frontier of Egypt , the nations subject to her empire had joined the standard of the conqueror , who detached Probus , the bravest of <b>his</b> <b>generals</b> , to possess himself of the Egyptian provinces . "	
23482	"HDFRE"	"his"	"generals"	9	10	3482	"Tacitus , who desired by the abilities of <b>his</b> <b>generals</b> to supply his own deficiency of military talents , named him commander-in-chief of all the eastern provinces , with five times the usual salary , the promise of the consulship , and the hope of a triumph . "	
							
13379	"PTB_WSJ"	"his"	"pilots"	26	28	23052		
13380	"PTB_WSJ"	"his"	"players"	27	28	23388		
13381	"PTB_WSJ"	"his"	"quarterback"	6	7	23329		
13382	"PTB_WSJ"	"his"	"salespeople"	12	13	36087		
13383	"PTB_WSJ"	"his"	"secretaries"	22	23	914		
13384	"PTB_WSJ"	"his"	"secretary"	2	3	23112		
							
13364	"PTB_WSJ"	"his"	"investigator"	19	20	23136		
13365	"PTB_WSJ"	"his"	"lawyers"	17	18	996		
13366	"PTB_WSJ"	"his"	"lawyers"	2	3	11372		
13367	"PTB_WSJ"	"his"	"lawyers"	15	16	24166		
13368	"PTB_WSJ"	"his"	"lawyers"	12	13	34607		
							
13609	"PTB_WSJ"	"Marcos"	"attorney"	2	4	1448		
13610	"PTB_WSJ"	"Marcos"	"attorneys"	24	26	1444		
13611	"PTB_WSJ"	"Marcos"	"attorneys"	2	4	8214		
							
13697	"PTB_WSJ"	"plaintiff"	"lawyer"	9	11	15101		
13698	"PTB_WSJ"	"plaintiffs"	"lawyer"	6	9	8235		
13699	"PTB_WSJ"	"plaintiffs"	"lawyers"	11	13	15007		
13700	"PTB_WSJ"	"plaintiffs"	"lawyers"	9	11	29895		
13701	"PTB_WSJ"	"Plaintiffs"	"lawyers"	1	3	35293		
							
13706	"PTB_WSJ"	"president"	"doctor"	3	5	29567		
							
13735	"PTB_WSJ"	"senator"	"spokesman"	13	15	5291		
13736	"PTB_WSJ"	"senator"	"spokesman"	2	4	36752		
							
13793	"PTB_WSJ"	"their"	"representatives"	11	12	33		
13794	"PTB_WSJ"	"their"	"representatives"	14	17	30120		
							
13101	"PTB_WSJ"	"Antar"	"attorneys"	21	23	11363		
13102	"PTB_WSJ"	"Antar"	"attorneys"	5	7	11365		
13103	"PTB_WSJ"	"Antar"	"lawyers"	8	10	11364		
							
13240	"PTB_WSJ"	"family"	"spokesman"	7	10	10271		
13241	"PTB_WSJ"	"father"	"maid"	7	9	36334		
							
13308	"PTB_WSJ"	"her"	"chancellor"	5	7	7685		
13313	"PTB_WSJ"	"her"	"lawyer"	19	20	12446		
13314	"PTB_WSJ"	"her"	"lawyer"	22	23	12450		
13315	"PTB_WSJ"	"her"	"lawyer"	16	17	23632		
							
13332	"PTB_WSJ"	"his"	"attorney"	18	19	2726		
13333	"PTB_WSJ"	"his"	"attorney"	28	29	4752		
13334	"PTB_WSJ"	"his"	"attorney"	5	6	4758		
13335	"PTB_WSJ"	"his"	"attorney"	9	10	27780		
13336	"PTB_WSJ"	"His"	"attorneys"	1	2	14992		
							
13339	"PTB_WSJ"	"his"	"broker"	3	5	20101		
13340	"PTB_WSJ"	"his"	"broker"	8	9	20107		
13341	"PTB_WSJ"	"his"	"broker"	21	22	20116		
13342	"PTB_WSJ"	"his"	"broker"	11	12	37623		
13343	"PTB_WSJ"	"his"	"brokers"	30	31	1405		
							
13405	"PTB_WSJ"	"Hunt"	"attorney"	5	7	1094		
							
13743	"PTB_WSJ"	"Smith"	"managers"	2	4	23002		
							
13742	"PTB_WSJ"	"Skinner"	"deputy"	8	10	31588		
							
13617	"PTB_WSJ"	"men"	"attorney"	7	9	29725		
13618	"PTB_WSJ"	"men"	"attorneys"	22	24	29723		
							
13654	"PTB_WSJ"	"Noriega"	"representative"	18	20	36441		
							
13722	"PTB_WSJ"	"Sala"	"attorney"	5	7	26604		
13720	"PTB_WSJ"	"Roderick"	"man"	5	8	16295		
							
13120	"PTB_WSJ"	"Beebes"	"lawyer"	5	7	35296		
							
13090	"PTB_WSJ"	"Ahmad"	"lawyer"	2	4	35321		

